score,content,date,app,platform
1,"So many reasons for a one star rating. Slow generic responses from therapists and overpriced support are the main two. Says it's anonymous but they get your name through the payment so it's really not anonymous either. Disappointed Michael Phelps is pushing such a product. Recommendations: Quicker responses, responses that prove that the ""patients"" msg is understood, work with insurance companies to allow copay options and require therapists to sign a contract for lengh of service instead of ghosting on their clients.",11/21/2018 17:00,talkspace,google
1,"DONT GIVE THESE PEOPLE MONEY. This is a dangerous app. The ""therapists"" are just social workers who want to make easy money on the side. You pay them to chat with you and if they have to do work they run and block you. I left my partner of 12 years because, after 3 ""therapists"", she began beating the children and cheating because, ""adults should feel no guilt for doing what they want"". If this app can help you, then you just need a friend. Also your info is public since they are not docs.",10/28/2020 21:29,talkspace,google
1,Just wanted to test the app first but for it to open it require me to input my credit card details and a 7 day free trial. I couldn't even access anything else to see if it is something I wanted to use.,1/13/2021 2:59,calm,google
1,"Literally a scam, the sign up process is unknowingly a subscription that you have to go out of your way to unsubscribe to so now I??m under $50 because it took it directly out of my account without warning. Most apps ask you to subscribe after your monthly trial is up except for the few shady ones who just hope you will forget when your free trial ends...this is one of them. Also at sign up it has you sign up for the yearly instead of monthly so they can charge you the most amount of money possible. I want my money back, did absolutely nothing to help and there??s free apps like this on the store.",12/2/2018 17:05,shine,apple
1,"I??m in a free trial period. After the first night I realized it??s not for me. I have tried everything to unsubscribe. Their Apple subscription page doesn??t have an UNSUBSCRIBE link, their app won??t let you unsubscribe. In 7 days they will charge me $69. I am NOT CALM ANYMORE!

I just had to ask Apple help to unsubscribe Calm for me. The agent told me Calm is a Third Party purchase so I wasn??t able to unsubscribe through my Apple ID account. 

Something else to be wary of.",11/2/2020 3:16,calm,apple
1,"Not a fan of giving my information away just to meditate, one star for the requirement to create an account just to get started and try this app.",2/23/2018 18:39,headspace,google
2,"Okay. So headspace didnt want me to log in to my old profile when I tried to. I also changed my password to log in but nothings working. I had the app before and i honestly thought it was great. Awesome app seriously. But it just doesnt want me to log in. If i try making a new account, Headspace just doesnt want me to make the account. This spoils the app completely for me. Long story short i cant get my old account back and I also cannot make a new one.",10/27/2019 12:33,headspace,google
2,"I liked this, even tho I only used one feature, I used it quite often, and now for some reason I can't enter, I tried to log in and I tried to creat a new account but it won't let me get into the app. What is happening... Also, I see they now made it so you have to pay for everything, so it will be useless for me. Therefore, uninstall.",10/30/2019 21:05,headspace,google
2,Great app but can't Access my account anymore... I got signed out a couple days ago and it won't allow me to sign back in .. first it says my FB account has previously been used to sign in.... Then when I press continue it says an account doesn't exist -.-,9/3/2019 23:16,headspace,google
1,I dont even have this app on my phone I've been charged for a yearly subscription. Money I don't have during this pandemic. Google refusing to refund me. So I'm warning people that this an app that some how must either be linked to something else or some how get into you accounts.,12/9/2020 11:27,headspace,google
1,I never purchased the app and got charge for it and I don??t know how to get rid of it and I want a refund. Not cool. I don??t want this and did not agree to pay I want a refund and I want this off my phone.,4/14/2019 23:05,calm,apple
1,Pay wall 80 dollars a year they try and gouge out of you when they sell your data as well,8/8/2021 1:16,calm,google
2,Billed me after i unsubscribed and now it wont let me log in but charged my fn account 70 watever dollars. Please fix this stupid app.,9/5/2021 22:20,headspace,google
1,"The app opens up with a nice relaxing screen that has you tsming a deep breath, it feels nice. Then you realize they are just trying to make you relax so they can bend you over and take your money. Literally hundreds of people getting charged the 70 usd without their approval by this creepy app.",12/21/2020 2:24,calm,google
1,I shouldn't have to give you personal data just to get some sounds,10/21/2019 15:01,calm,google
1,"Maybe it??s on me, but I didn??t realize this app would automatically bill me $73 without me affirmatively choosing to sign up. I assumed because I never provided credit card numbers, that I didn??t have a membership. Just now, literally months later, I realized my iTunes account was billed for a year subscription that not only I didn??t particularly want, but didn??t even realize I had - after my trial expired, I never even opened the app. I guess I should pay more attention, but seems like highway robbery.",3/11/2019 1:33,calm,apple
1,"Was a good introduction to meditation and I would have rated it 3/4 stars, 
despite it being pretty buggy. That is until I got a notification stating 
""Stop swiping. Start meditating. Oh, we know what you're up to ???"" at which 
point I though, how about you go **** yourself headspace? (I wasn't swiping 
on any app for what it's worth). Unbelievable. Someone should get fired for 
that one. I'm unsubscribing and deleting now.",8/18/2018 5:44,headspace,google
1,"DO NOT DO Free week trial!!!!!! They take all your information and bill you for a whole year, and it won't let you cancel before the week trial is over!!!!!! Such a disappointment...such a scam!",2/10/2021 3:19,calm,google
1,too expensive and requires our data before telling you the price....! so wrong..,7/13/2021 0:09,calm,google
1,"Cant use the app without putting in payment info. The 7day ""free trial"" should be no obligation. Forcing people to input payment details to access a Free Trail, is Bullsh!t. Id have probably brought the subscription, but that turned me off!",1/11/2020 14:28,calm,google
2,It looks like the site just wants to sell other sites. I do not want to give my credit card number for anything! I often forget to opt out and then get charged.,1/13/2021 9:07,headspace,google
1,logged in with FB and then got a message saying theres a yearly subscription of 60 dollars. fr? I logged out and uninstalled instantly. hopefully I dont get charged automatically,7/20/2019 2:10,calm,google
1,"Beware when you subscribe. They've let me make a double subscription with two credit cards on the same account. Only noticed when one of the subscriptions has expired and the membership was dismissed. Support won't reply for a week already, whilst I'm still paying.",1/21/2020 16:56,headspace,google
1,I joined hoping that I would find the comfort of a psychologist when I am on my phone so that I can be reminded that I am not alone and that I have help because I have just paid $200 for one month of therapy that is supposed to be Monday through Friday and instead I got nothing in return I feel more depressed and more awful about myself that I did before joining this I already go to face-to-face therapy and wanted to ensure that my emotions are dealt with when they happen at home and I can't be with my therapist which is exactly why I got this app and paid this ridiculous amount but instead I found nothing helpful and I would really love if I could get my money back which I know I won't because there are no refunds. thinking that this would help me I was glad to put up money for this kind of an app even though I'm in a financial situation and now knowing that I just wasted $200 on something that isn't going to be helpful I'm even more depressed and suicidal!!! What a sick joke to steal money and not even help those who reach out...,6/7/2017 23:33,talkspace,apple
1,"I signed up for the free trial and did a few sessions but then I got locked out of my account and not matter what I did, changed password, sign into a new account, I still can't access the app!!! Terrible trial experience :'( I don't know if I can even end my subscription if I can't get into my account! Definitely don't want to be charged and not even be able to access it!!!",10/30/2019 1:34,headspace,google
2,Lovin this app. Not lovin laying down at night and hoping to listen to rain only to be blocked by a login screen again... Don't keep my password book near my bed and it's not letting me use fb or Spotify... Now I'm just keyed up and annoyed instead of relaxed and passing out to rain drops,4/21/2020 2:16,headspace,google
1,I enjoyed this app until I couldn't login anymore. I was told that my account has been compromised but stopped hearing from customer service for the past 4 days.,3/21/2020 15:20,headspace,google
1,"Talkspace provides an excellent therapist connection platform ON THE WEB. This app simply does not work correctly. It randomly fails to send your message to your therapist, which is a HIPAA sec. rule violation IF the message is not encrypted, lands on a non-secure server or is viewed by an unintended party (via auditing an error log or server cache). I've repeatedly let them know that the app is broken for two months but they have yet to fix the bugs. If you're going to sign up for Talkspace, SKIP THE APP.",4/1/2015 15:31,talkspace,google
1,"$70 a year, no monthly payment option, literally nothing for free. A 7 day trial, and then it will automatically charge my card $70. I'm not taking a chance on not being able to cancel before it charges my card, especially when I have to put in all the info before I can even see what you have to offer! there's plenty of other free apps out there for meditation ????",8/8/2021 2:53,calm,google
1,They are a complete rip off when it comes to not even telling about there subscription or so called contract I found this out when I saw a charge for 62.00 from this app I have cancelled but will keep getting billed until May of 2021 ! So much for being clam!,6/21/2020 0:26,calm,google
2,"This is actually the largest app by far on my phone and it really needs to be storable on a SD card. So limited. Also, was not very impressed when my annual direct debit was taken without warning, especially when it is ~?50.",2/20/2016 8:29,headspace,google
1,I give them a 0 because I feel like they lie about their subscriptions. Above is my original review anyway I sent a message to the developer and I have not heard anything back yet I don't know if they just don't want to talk to me but I do want a refund because I never subscribed to a year of meditation or whatever and I am not going to pay for it and if I don't pay for it my phone is going to get shut off so you guys need to do something about it take it off my Verizon bill,7/9/2021 9:45,calm,google
1,I'm am very displeased this app took $69.99 dollars off of my card for an unauthorized payment and I want a full refund ASAP,2/21/2020 10:08,calm,google
1,"Lots of potentially useful meditations, but little that you couldn't get from other places for free. Also, every time you do a meditation, the app nags you to share a meme about your meditation on your social media. It also constantly tries to get you to set reminders. If you say no, the app shouldn't keep asking you again until you say yes. I won't renew my subscription if I am expected to further advertise the app through my social media.",9/27/2020 9:45,calm,google
1,"Very sad to be writing this review. I signed up for the service as a trial, but didn't find myself using it so of course I have tried to cancel my subscription. My therapist keeps going in circles asking me if alternatives would work and finally asked me to go through the cancel flow in the app, which told me that I needed my therapist to process the cancellation. I have literally been trying to cancel my account for over a week at this point (since communication wth the therapists are very slow) and this has been a very frustrating experience and I'm likely to be charged for an extra month of service I don't need.",3/31/2017 23:58,talkspace,apple
1,"The first thing when opened the app was ""sign in our create an account"" i just need help relaxing! You don't need to collect data about be for that! This just makes me more stressed out! You should be ashamed of yourselves for making this!",8/16/2019 10:53,headspace,google
1,"I signed up, shared my reasons for therapy (a pretty vulnerable process) then chose a therapist after paying $160. The first therapist never responded to my very lengthy intro message (second time being extremely vulnerable). I was then told to choose another. That therapist finally responded because I got notified and when I tried to open the app, it logged me out. When I logged back in it was reset back to the first time I was interested in joining with my partner over a year ago. All my recent exchanges were gone and it was telling me to choose a plan as if I didn??t just pay $160. 

Look. Therapy is not easy. Being vulnerable and talking about your trauma and stress is not easy. It A LOT less easy when you feel jerked around and ignored. I contacted ??support? and no one has responded. No one has answers. So how the hell I spend $160 to get told to start over?!? Do not use this app. There are free crisis text services that will be more helpful and free.",9/1/2019 8:58,talkspace,apple
1,Payment I thought I had opted for the free trial. Recently found I have been charged for 2 months and am now trying to understand how to unsubscribe. I haven't been using the app.,2/9/2020 3:10,calm,google
1,Unable to cancel subscription not worth the money or the experience not easy to contact Still looking for contact info. Charged me $60 without my approval...,9/29/2019 11:11,calm,google
1,app requires a signing up. why can't use as guest or ananymous? very rude behavior to force ppl expose their personal data.,8/22/2017 15:41,headspace,google
1,"This app is confusing. The actual app is free but after you put your 
information in it says you have to have a subscription. I would suggest 
putting a price on the app that way people know you have to pay.",5/7/2018 23:51,calm,google
1,"Trust when I say you can use YouTube for free (no s) meditation, frequencies etc some of y'all may even have trouble with this app, I love(d) using this app when most things were free, listening to the music here was my fav, now I just have them all into my YouTube playlist, why pay for this when it's on YouTube? Girl they even got a Harry Styles meditation, anyways like I said please use YouTube or maybe even Spotify this app really wants to make your mental health worse by eating all ur money",6/15/2021 8:43,calm,google
1,"You cannot delete your account in app, which infuriates me I would NOT suggest trying this app, as the developers are money grubbing idiots",2/21/2020 9:15,calm,google
1,"So they decided to renew my subscription without asking me. I haven't used the app for over a year now and you would think that because of inactivity they would check to see if i still need the subscription, well they didn't. They just went ahead and deducted money from my account. And i have written to them, they didn't bother responding. You wonder whether their intent is actually good. I'm appalled that an app which symbolises a stress free life is actually causing stress. Irony!",2/7/2020 21:46,headspace,google
1,"I am an immigrant with neurological condition. I signed up for a free a subscription using a code from a podcast to help me manage. They asked for my card numbers and I gave them.  I cant access my account . I reached out to their tech support and tell them about me and my problem with the app. They then closed my account. I cant get any answers - refusing to solve my problem. They are fake nice. 

UPDATE: 1 month - my account got charged! I did not allow them. I kept asking Aymane (IT tech) to help with ticket #ticket (2079180). . Did not listen - I kept being charged!! 

Please stop!!
Aymane | Headspace(Headspace)",5/6/2021 0:35,headspace,apple
2,"I'm downgrading my review to one star. This app is advertising in a misleading way. If anyone needs help in determining whether or not spend money on this service, read my review.  This is what the app IS: A place where you can vent. If you don't have journal at home or a journal-like space on your computer and you would prefer if that journal occasionally talked back, this is for you. If you feel like you can't talk to friends/family about something in your life, this is for you. It's an app for lonely people to feel less alone. It's a place to air your thoughts. It's a place where someone will ""listen"" to you and tell you sympathetic things. (Examples: had a breakup, pet died, moved to a new city, fighting with a roommate, don't like your school or teachers, considering a career change)  This is what the app is NOT: a place where you can find comprehensive, in depth therapy for serious/legitimate mental issues and pressing life concerns. If you are really struggling and you need to work with someone because there are problems that are consuming your life. DO NOT BE TEMPTED BY THE FACT THAT YOU CAN ACCESS THIS ""THERAPY"" FROM ANYWHERE INCLUDING HOME; PUSH YOURSELF TO SEE A *PSYCHOLOGIST* OR A *PSYCHIATRIST* IN PERSON! A lot of the responses will be taken straight out of a textbook. If you are having a really hard time this WILL NOT HELP YOU.   (Examples: depression, dealing with the death if a loved one, self-esteem issues, anger issues, bi-polar disorder, suicidal thoughts, phobias, divorce, addiction, etc.)  My experience is that this appears to be a part time job for the therapist/counselor. You're a second thought despite the price. I tend to hate leaving my house so I thought this app was for me. Considering the severity of my symptoms, filling out charts and being sent photocopied suggestions was not what was going to help.   I think we really, truly need to reassess what we consider to be counseling and what we consider to be therapy before applying that label to various services. In addition, clients should get one month free so that they don't have to find out at the end of $140 dollars that this is not going to help them at all.",7/22/2017 15:49,talkspace,google
1,Why has it taken money when I had uninstalled it as I didn't like it ????? This app shud have confirm b4 taking money whether the client wanted to continue after 7 days or not ... I deleted uninstalled it within a day and I'm charged for the yearly subscription...I want refund 100% .,9/27/2019 4:06,calm,google
1,"Very unhappy.

I signed up for this month with the maximum plan and paid for the four live sessions that go with it. I hadn??t used the sessions and decided that I should change my subscription for NEXT month to the middle tier subscription with only one live session so that I didn??t forget and stay on the same plan for next month. 

When I did that, it charged me ANOTHER full month and took away my 4 live sessions for this month that I already paid for. I contacted you guys and Instead of fully refunding me, you charged me an extra $58 and then....credited it to me for next month? I would like my money REFUNDED please-doesn??t everyone?, as right now I??m not sure I want to continue on this app for a myriad of reasons. 

There have been so many issues with the app this month, both for my therapist and I-have had messages and voice messages get deleted or not send, I get thrown off the app constantly when I type up an essay of important thoughts and then lose it, AND it??s been making it impossible for me to schedule a live session with my therapist making the ease of use for this app go out the window completely and be replaced with utter frustration. 

Yesterday we tried doing the FIRST Skype live session one of this month and it failed in two ways-it showed to her that I had ZERO live sessions left (when I should have 4) so she didn??t get paid, and THEN while I was mid sentence and crying and going into a heavy topic, the app started freezing and my therapist and I were kicked off and she wasn??t even able to send me a voice message after and I was left in a really bad state that exacerbated my mental health. 

I??m EXTREMELY unhappy and I love my therapist but your app/interface/contact system is making me want to leave ASAP, but the fact that I haven??t gotten/can??t get what I ALREADY paid for is what??s making me most irate. This isn??t ok. You advertise that I can always get in touch, but I??ve had nothing but problems for almost 2 weeks. What??s going on? This is a blatant joke and for the amount of money I??m paying and the fact this is a MENTAL health service, you??d think you??d want to have a useable interface that isn??t bugged with issues, allow customers and therapists to communicate, not overcharge people, and actually refund instead of crediting because I don??t know if I want to stay with you guys! This is wrong on so many levels. Customer support doesn??t seem to care much.",10/8/2018 16:51,talkspace,apple
1,Tell me I'm going to have to pay BEFORE you HARVEST my details!!,2/26/2020 6:23,calm,google
1,"As with anything, there are pros and cons to this service. I got along surprisingly well with my therapist, who was great, but the way the business is run left me dissatisfied. The biggest issue, which I was notified about by my therapist rather than anyone involved with making the call, was that someone with an administrative role decided to breach laws and read several confidential conversations. Also, the paid subscription automatically renews.",8/3/2016 13:28,talkspace,google
1,I did not give calm accees6 to my card . They have billed me full amount . I do not want there program. And have not used it and won't. What a fraud I would like a refund. My advise do not use them,11/16/2019 4:57,calm,google
1,"Last night since I couldn't sleep I decided to look up some ocean sounds. When I found this one, before I even clicked on subscribe, the app subscribed me! Now I can't figure out how to UN-subscribe. I didn't like to one free sound they provided.",2/22/2020 14:03,calm,google
1,"A good concept but a disappointing experience.

First, it is very misleading when it says 24/7 chat. Some sort of chat therapy would be a really great thing to have, but that is not talkspace. They should openly say that you will only get one message a day from your provider 5 days a week. This is not what I expected.

The first week is all just about setting up your therapy, and with one message a day and multiple forms to get through, this goes at a snail's pace. It feels as though the therapist are trained to drag out the set up period for as long as possible. So the first week is essentially wasted, but you are still charged for it.

 The other thing which seems unethical about this app is it constantly threatens you that you'll lose your therapist and never be able to pick them again. I feel that if this were a legitimate mental health app and you could not afford a therapist for a couple of months that you should be able to get back your old therapist no matter how much time has gone by. Your issues are personal and therapy is meant to build on your relationship with a therapist.  

*Edit* To their credit the support team did refund me which I am very grateful for. 

I found my therapist online which seemed like he had his own practice, but when I messaged him saying that the Talkspace format was not going to work out for me and that I wanted regular therapy sessions, he said he was sorry and that he could only offer therapy through Talkspace. 

This was just my experience with one therapist but it makes me question the credibility of the therapists on talkspace, I'm just not sure if they are real or not. Either way, one text a day just wasn't going to work for me. :(",7/19/2020 22:09,talkspace,apple
1,"I hate apps where user is forced to create an account before even starting an app and most likely to be told how much it cost per month. Might be a great app, but I don't give my details away before testing.",3/5/2017 8:09,headspace,google
2,"Not worth the try, ALL is locked unless you get the 7 day trial & then pay ~$70 which would've been fine if not for tons of unanswered bad reviews; app not working properly, loading times, paying and not fully unlocking, etc. Seems promising but if they really had confidence on it being a great app as they claim, make the trial longer or not to automatically renew for a year & charge you full amount, they clearly hope you forget to cancel.",7/15/2020 8:12,calm,google
1,"I signed up for a trial, didn't work. Forgot about it. A week later i get a notification i got charged 80 for access to premium (whatever that means) for a year. Why would anyone buy a yearly subscription after a free trial? They automatically set for a year even though a monthly subscription is available. My account is over drawn. *u*k this app i want my money back if you're truly an insomniac it does not work and their automatic payment settings are predatory.",2/3/2021 2:46,calm,apple
1,"I am unable to delete my account, even after submitting a request. I can only log out of this app, and not have my details deleted. How is this compliant with GDPR regs?",4/6/2020 6:37,calm,google
1,"No trial mode. I can't even try this app without spending personal data. Second time posting, devs deleted my review...",7/9/2020 21:10,headspace,google
1,"I downloaded the application and signed in with the Gmail and found out that the application isn't useful for me, I signed out and I found that I'm charged with 899,9 LE by which I already logged out and uninstall the app , I asked for my money since 25/4/2021 and so answer till now from the website",5/2/2021 19:49,calm,google
1,"After 2 weeks, I'm convinced that the ""therapists""are just bots throwing up pre-packed short statements to my lengthy self-revealing 'shares'.  Maybe this works for millenials, but as someone with decades of therapeutic experience, the falsness is shockingly apparent. Currently I'm tryin to run a Turing test, now on my 3rd 'therapist.'   No money back policy",2/10/2018 17:19,talkspace,apple
1,"The same day that I saw this app, I Xd it out to cancel after I saw how much it cost. Was charged $69.99 on my Visa Bank card without my knowing. Am disputing charge...not happy!!",3/10/2021 14:43,calm,google
1,"This app has portrayed itself as providing you with extremely accessible help, which is attractive for someone with a difficult schedule. In practice however, you cannot even schedule a time to chat with your therapist without getting confirmation from them, which for me has only occurred 24 hours after a message. Additionally, there is no proactivity on the side of the therapist to follow up and schedule a time that works for you. 
TalkSpace customer service states that some therapists simply like to keep the schedule in the hands of the customer, which seems like an excuse for getting paid to do absolutely nothing especially with the delays in scheduling an appointment in the first place. For someone who is going through a difficult time mentally, you know that there are ups and downs. I got this app when I was able to seek some help under the impression that someone would be immediately available or at least be a bit responsive. Instead, I now have the financial stress of having to pay over $200/month for the past three months compounding with my underlying issues with no assistance from the customer service team. 
If you??re going through a hard time, please avoid TalkSpace. It will only make it worse.",8/1/2019 14:27,talkspace,apple
1,"you guys are fraudsters....without my consent you have taken 3000rs from my 
account, i need my money back. How can you even do that??? i will file a 
complaint and I'm gonna take legal actions",7/26/2018 2:52,calm,google
1,"Signed me up for subscription, before I even knew this app was a paid subscription app. Not cool. You respond that it's a 7 day free trial, which you can cancel... Shame you have it set up as Herculean task to cancel. You don't trick ppl into a blind subscription, and then say they have 7 days to cancel (good luck with that btw). You're just making it easy to file a fraud complaint.",10/8/2019 16:22,calm,google
1,"Literally all I needed was help falling asleep which this app markets that feature as free but there is ZERO options for it. I got to listen to the laundromat recording once and now everything on the app is locked unless I pay. That's completely ridiculous dont advertise something you don't have available on your ""free"" app.",2/3/2020 4:36,headspace,google
1,The amount of data collected by the app it s not ok... Careful on what you agree. Please read the terms and conditions,2/15/2020 16:36,calm,google
1,I subscribed and was charged. The app kept telling me I did not have a premium subscription and would not allow me to access content. Had to contact Google for a refund. Did not make me very calm.,7/17/2020 19:36,calm,google
1,"You have to give your credit card number AND create an account to be able to try the 7 day trial, but if you forget to cancel it then you're out $69. Didn't get to try what I wanted. Not worth the risk.",7/27/2020 3:44,calm,google
1,Do not download. Will automatically subsribe and bill $70 in a week WITHOUT notification. Will automatically bills your phones carrier through play or appstore. READ fine print and search for finer print EVERYWHERE before installing. This app went from calm to scam. Sneaky snakes! Took a screen shot of canceled subscription and writing reviews of experience.,5/24/2020 4:50,calm,google
1,Took money after the free trial with no way to cancel and then the apl wouldn't give me access without them collecting payment again. RIP off.,2/10/2020 6:26,headspace,google
1,I downloaded the app for the free trial and before the trial was up I tried to unsubscribe so I wouldn??t get charged for the year but the unsubscribe option was not available so I deleted the app thinking that I wouldn??t be charged but I was charged today for the year. I feel unfairly charged for something I tried to stop the subscription before being charged but when trying to click unsubscribe it was not available not allowing me to unsubscribe can I get this issue fixed please?,3/1/2019 23:11,calm,apple
1,"Takes money without authorization or notification, when I requested a refund it was processed but another amount taken so I still can't access funds and support are not answering my messages now :/ use with caution if you are not made of money.",9/2/2015 4:46,talkspace,google
1,I was automatically charged by Google Play store for a one year subscriotion just for LOOKING at this app. Don't go anywhere near it! Still trying to get my money refunded. You can get the same content on youtube for free.,5/19/2020 9:37,calm,google
1,"After having a traumatic event in my life happen, I decided to see a therapist. TalkSpace was convenient because I work long hours, and I would be able to do therapy on my time. My first therapist after a week said that she was sick and canceled our video session with no follow up. My second therapist after a week said that she would be taking a different job and could no longer be my therapist. On this app the therapists can also change their available video hours, or cancel appointments without notice. If you want to pay a few hundred dollars a month to text with a therapist: then this app is for you. If you are looking for continuity and meaningful therapy: I would look elsewhere.",4/23/2021 11:40,talkspace,apple
1,"I sought help for rape trauma through this app, and after my therapist made some highly inappropriate comments, I googled his name and discovered he had had multiple lawsuits brought against him for sexual abuse and misconduct. Talkspace immediately terminated him as a provider after receiving my complaint, but one would think that if those are appropriate grounds for doing so, they should have been the ones to do that simple Internet search, before matching him up with someone who is already traumatized to figure it out for themselves through him doing further damage. And yet talkspace is insisting to me that they did their due diligence because the man still has a license. (His cases were not dropped or revoked, but ""settled"". In their words, ""you can't revoke somebody's license for bad press."") So if you decide to use this farce of a support network for vulnerable individuals before it gets shut down (I'm working on it), please do your own research on their ""therapists"", because their screening  process is shamefully negligent.",5/21/2016 16:03,talkspace,apple
1,"Their customer service is atrocious. My account was hacked and they have done Jack to help me recover it, they have in essence left me on read. There is no number to call. You are at their mercy. DO NOT GIVE THEM YOUR CREDIT CARD. THEY ARE SCAMMERS.",8/6/2021 15:09,calm,apple
1,"I??m having a very hard time with this app. It told me with insurance I??d be billed $14 a month, but then when I confirmed payment info and started room it looked like I had two rooms, so I checked Manage Subscription and I had been billed twice with two subscriptions and it said my renewal billing amount in 1 month was over $300 TWICE. Which would charge my card on Oct 16th. 

If I hadn??t checked it, I would??ve been out $700 next month which would bankrupt me. This app is sketchy and I was excited to try it, but now I??m terrified my card is going to be billed THIS MONTH for that amount even though it told me $14. I don??t even want to see a second $14 charge on my card because your app messed up. 

This confusion is definitely unhealthy for people who have anxiety and can??t afford to pay hundreds of dollars for help. If it can be corrected and assurance can be shown that what I signed up for is accurate, then I may considering trying again, but I do not trust this app.",9/16/2020 15:58,talkspace,apple
1,"You have ruined my phone use by your constant unwanted ads ???­. Stop sending me ads for God's sake!!!! Not sure if you are aware that your ads appear on my phone regardless of my objection to receive them. I simply visited your website one day and decided not to go ahead with subscription, so even though you claim you have no ads within your ap, somehow they appear every time I attempt to use my mobile phone.....very irritating ???­.",7/13/2021 2:45,headspace,google
2,"I was really excited to try this but then, after submitting all my info and setting up the schedule, it would only let me access my chosen meditation by activating my 7 day free trial. Some of us are not able to afford a monthly or yearly subscription because keeping a roof over our heads are a little more important right now. It would be great if things like this were actually free with all access unlocked from the beginning. I understand we are all in the business of making money and you can??t get something for nothing but at the same time, I really want to improve my sleep. 4 hours a night isn??t working for me so I need something to help me. I can??t afford this so I guess I??ll try something else.",1/6/2020 2:13,headspace,apple
1,"Every single thing is a premium feature, don't even bother unless you want to give them your data for a 7 day trial. Waste of personal data, shame on you.",11/26/2020 17:29,calm,google
1,"Customer service matching agent was asking all these personal questions, when they??re not my therapist. I don??t feel comfortable talking about my problems with a random agent, certified or not. This ??matching? thing is ridiculous, you should be able to pick a therapist based off their profile and availability. I shouldn??t have to share my life story with everyone in Timbuktu just to get someone to talk to me about my problems",7/4/2021 7:24,talkspace,apple
1,BAD this app lets you enter a bunch of info gets you all worked up then wants access to your card so it can give you a free month. Yipeeeeee,6/22/2021 2:25,calm,google
1,It sucks. I wanted to try it for a week and it took $76.99 out of my account. I cant afford this. I have mortgage payments that come out my account. I got a NSF charge for not having enough money in my account because of this app. When you sign up it doesnt say that it's taking money out of your account. Usually they give you a time limit. Usually a week. I was checking my account I wondered what was wrong with it. Thank you calm for nothing. I will have the pleasure of telling people about this,2/7/2021 22:25,calm,google
1,I opened it on a accident but wasn't ready to use the app yet so I closed the window out and it immediately started to download things without my consent so I cleared the data and uninstalled. I don't appreciate apps taking over my phone.,4/19/2020 16:03,calm,google
