,score,content,date,app,platform,relevancy_label,llm_response
28,1,"I??ve done therapy I??m the past and I found the first therapist I tried here to be decent and responsive except for a major issue I had with her so I had to switch. The next therapist saw my first message, sent me a test (Zanarini??? For borderline personality disorder??? I??ve already explained my dx to her which is PTSD only, as I have been treated with a psychiatrist for years) or at least I think that was her sending it. She never responded EVER as in never sent a text at any point. So I switch again after a few days and the next one has been my ??therapist? for 8 days now and not once has contacted me even after I asked to get started and have waited 4+ days and still no response. So so far I haven??t had therapy for 2 WEEKS (but did for the first) and I have requested a refund for the last three weeks of the month because I did not get what I paid for on any level. I feel like even the first one didn??t take me seriously. I had been out of therapy for 2 years and was excited to get to work and now honestly I feel set back especially after how poorly the one time I talked about a recent traumatic event went. If you have PTSD or trauma you??re trying to deal with, do not try this service ever and mean it. That goes for other serious mental issues like psychosis or bipolar because this place is not able to help you. If this is standard experience I can??t imagine recommending this to anyone dealing with any problem at all. But most definitely, don??t even try it if you have severe issues.",5/19/2020 15:25,talkspace,apple,maybe-privacy,yes
29,1,"Enlightenment should not be for sale. The wealthy should not be able to trademark inner peace. I understand needing to pay your rent, but this app is beyond that. If you cared about healing people, you would have a large free section for everyone to master meditation and would only charge for luxury, non-essential additional content. I can't support turning meditation into a product.",7/1/2019 3:22,headspace,google,maybe-privacy,yes
30,1,how in the world do y??all expect people to keep your app if everything is locked. makes no sense. i used to love one of y??all??s stories but you locked it of course and now it??s just useless. people pay so much money just for an app with stories to help them sleep at night. ridiculous.,6/30/2021 4:14,calm,apple,maybe-privacy,yes
31,1,Was interested to try it but I don't like people taking my credit card details just to check something out.,3/3/2021 19:12,headspace,google,maybe-privacy,yes
32,1,"In-person therapy costs more but it's worth it. This is not. Paid for the first month to try it. Too many tech issues. Couldn't open audio messages most of the time - not even with WiFi. I told the therapist I had trouble opening the audio, but she continued to send me a mix of texts and audio. Felt unheard. Added to my stress. Scheduling issues where she flaked on me 2x. I'm a busy person. Don't waste my time. Online medium makes it easy for therapists to not care. They never see your face, so who cares.",2/13/2016 16:45,talkspace,google,maybe-privacy,yes
33,1,"Says free with in app purchases, but once you register and they harvested your email, you can't continue without subscribing",2/8/2018 18:56,calm,google,maybe-privacy,yes
34,1,"It asks for your first and last name, email address and phone number. I did not feel comfortable sharing personal information.",2/20/2021 0:32,headspace,google,maybe-privacy,yes
35,1,"Cant use the app without putting in payment info. The 7day ""free trial"" should be no obligation. Forcing people to input payment details to access a Free Trail, is Bullsh!t. Id have probably brought the subscription, but that turned me off!",1/11/2020 14:28,calm,google,maybe-privacy,yes
36,1,"Won't even try it if I have to give you all my info and Cc number for a ""free"" trial No thanks!",3/23/2021 2:29,calm,google,maybe-privacy,yes
37,1,Took money after the free trial with no way to cancel and then the apl wouldn't give me access without them collecting payment again. RIP off.,2/10/2020 6:26,headspace,google,maybe-privacy,yes
38,1,This app stole 69.00 from me I??m a single mom working two jobs I would never subscribe to something for a year. Now all I want is my money back so I can buy toilet paper and groceries. Someone please help.,1/10/2020 15:53,headspace,apple,maybe-privacy,yes
39,1,I do like what I see but not 70 dollars a year! No way! Cant even figure out how to cancel because it doesnt even show my free trial! But there is a hold on my account because of this! So now trying to figure out how to cancel something that doesnt show up before I'm charged,4/28/2020 14:11,calm,google,maybe-privacy,yes
40,1,"Absolute garbage. I downloaded the app intending to try some of the free sleep meditations. Everything looked alright but I created an account so I could save any particular mediations that worked for me. As soon as I did a got a pop up asking if a want to try the ""free 7 day premium trial"". I don't, so I hit the ""x"" in the corner and another identical ad pops up. There is no way to avoid the 7 day free trial even to try the free components of the app. The app is literally unusable.",8/5/2020 22:27,calm,google,maybe-privacy,yes
41,1,Unfortunately will never know as you need to sign up with your payment details befor trying it out,9/23/2020 4:28,headspace,google,maybe-privacy,yes
42,1,I have an account with this app the password of which I have forgotten... Not used it since a year now but the yearly membership fee of the app has been deducted automatically... Horrible... Don't ever take a membership... Try and forget,6/22/2019 9:27,headspace,google,maybe-privacy,yes
43,1,I am not giving my email to sign up for a sound making app. Absolutely ridiculous.,6/23/2020 23:05,calm,google,maybe-privacy,yes
44,1,Shame on you scammers!! Advertise it as free and after obtaining all personal information you ask for money!!! Scammers.,4/27/2021 22:10,calm,google,maybe-privacy,yes
45,1,"Day 2 of the video consistently has an ""error playing"". Tried to go to the support menu, and it has network issues while all my other apps work fine and I am connected to WiFi. So the app has a bug, and when I want to contact support I can't. Not great. Causes more annoyance and anxiety which is contrary to the nature of the app.",11/8/2019 22:40,headspace,google,maybe-privacy,yes
46,1,"I wish that I had read the reviews before signing up. I spent $50 on a therapist (insurance covered the rest) who could only tell me that I needed to contact customer support for couples therapy even though they handle relationships. I spent another $395 for a couples therapist (insurance did not cover) and no response for a week untill I raised a stink. You can only freeze therapy for a month when it automatically unfreezes and charges your bank account again. Stay away. Stay far, far away.",7/2/2020 9:06,talkspace,google,maybe-privacy,yes
47,2,Ok so my only problem is that when I use the app it almost ALWAYS logs me out and to start i'm bad at remembering my login stuff for things so it makes it harder for me to use it and adds some stress on my part. I also don't like how they made a lot of things that helped me all locked. But besides all of that I really liked it.,6/12/2020 18:03,headspace,google,maybe-privacy,yes
48,1,"This was recommended by my psych to help me relax at night. Unfortunately they did not realise that to do most of the meditations, I would have had to pay. Sorry, but for my mental health, and finances I uninstalled the second I found out. Such a shame that it's all about money, since it's run by an organisation that is supposed to help with mental health.",4/6/2021 6:57,headspace,google,maybe-privacy,yes
49,1,Received free year and didn??t realize they would automatically renew.  Tried it a couple of times but it added nothing to my meditation practice so deleted app.  Received notice today that the subscription renewed with no notice. You are expected to track it.  Unsubscribed after the fact and there is no way to get my money back as far as I can tell. disgusted.  Stuck with a subscription I won??t use and haven??t used for almost the entire year.  Sleazy.,6/5/2021 15:23,calm,apple,maybe-privacy,yes
50,1,just downloaded it to try and give it a shot and it pulled up my credit card like it was going to charge me I uninstalled,7/31/2020 1:04,calm,google,maybe-privacy,yes
51,1,Abigail on customer support was no help whatsoever and to top it off they charge you everything at once without telling you exactly what insurance covers. They make it out to be like insurance covers the whole cost. At that point you should just pay for an in person therapist. Not worth it at all. Go elsewhere. The therapist was lovely but again they give out false information that video and text are unlimited but they don??t tell you they??re unlimited because you pay the rest out of pocket by insurance.,8/24/2021 14:37,talkspace,apple,maybe-privacy,yes
52,1,"This app is great; the exercises are wonderful and very effective. If you??re like me, can??t afford therapy or anything OTHER than bills this is what you need. Sadly, after a week under the impression that there is a tool for mental illnesses- at a price point (free) for people who are low income can use... I was hit with the ole everything is locked up. So if you??re in the higher income bracket this will work great in addition to the therapy and medication you all can afford. So piss on the less fortunate ones who desperately need help.... America... if someone can??t profit off of HELPING some get the assistance and resources they need then it ain??t possible to help me then. No $$$, no healthcare.",9/29/2019 15:46,sanvello,apple,maybe-privacy,yes
53,1,Please refund my money I didn't know I had a subscription. It was done from an unknown device. Not my device I used. I have changed my password so please can you refund me. Its 50 pounds I don't use this app and I don't require the subscription.,1/29/2020 12:04,headspace,google,maybe-privacy,yes
54,1,"Talkspace exploits their therapists and endangers users?? privacy and safety. Therapists on Talkspace make a very low hourly wage (under $12 according to one source) and are not allowed to set their own rates despite the fact that they are supposed to be independent contractors. These are highly trained medical professionals with masters?? degrees. Talkspace??s policy of patient anonymity makes it hard and sometimes impossible for therapists to report dangerous situations, even suicidal or homicidal risk. They try to control therapists?? interactions with patients, even giving them mandatory scripts they have to use (the reason so many reviewers felt like their responses were ??canned?. Plus, your private conversations are not private- Talkspace employees can read patient-therapist conversations for ??quality control?. Don??t fall for this dangerous scam. It??s bad for therapists and bad for patients.",12/29/2017 22:50,talkspace,apple,maybe-privacy,yes
55,2,It's ok..Not great...a lot of the meditation voices are not soothing...it was hard to actually meditate with so much talking going on in the sessions... WORST part is that you are asked for you CC info as soon as you open the App. It's definitely now worth $69...It's free download but not free to use ???? I'll keep looking,5/28/2020 7:35,calm,google,maybe-privacy,yes
56,1,Downloaded for the trial. Used for 2 days and forgot about it. I've had no reminder about the trial ending like other companies do and you have gone ahead and taken the money from my account! Can I get a refund? There's no option to contact anyone on the app,7/20/2020 18:58,calm,google,maybe-privacy,yes
57,2,Great app but can't Access my account anymore... I got signed out a couple days ago and it won't allow me to sign back in .. first it says my FB account has previously been used to sign in.... Then when I press continue it says an account doesn't exist -.-,9/3/2019 23:16,headspace,google,maybe-privacy,yes
58,1,This app forced itself to purchase !!! Fraud! Be careful. When I realized I purchased a free trial I automatically canceled through request!! They don??t cancel you. It will charge your card $60!!! Do not sign up !! Fraud,6/9/2018 11:08,calm,apple,maybe-privacy,yes
59,1,"I downloaded this application and immediately uninstalled it. Here is why I did it. In my opinion and I am never saying it should be the same with you.When it comes to me I didn't like them wanting my financial information before the trial period ends. It is very simple, you let anyone try it for Seven days and soon as it ends if the person doesn't buy it just disable the Application. Therefore the application cannot be used. That is not the case with Calm, firstly they want your card. Not me.",7/9/2020 10:59,calm,google,maybe-privacy,yes
60,1,"Get away from me, youve been stalking me on youtube with you crappy ads",4/11/2018 5:41,headspace,google,maybe-privacy,yes
61,1,I was billed $91 after a couple of weeks and after unsubscribing and removing this terrible app from my phone! Please send me instructions on how to get my $91 that I cannot afford being 25 unemployed. Please? Headspace was an excellent service when I went there as a youth 5 years ago. I'm shocked to have my last money for the next couple of weeks taken and left with nothing,2/16/2021 15:34,headspace,google,maybe-privacy,yes
62,1,They will give you 7 day free trial then without notifying they will charge you for the yearly subscription and There is NO WAY TO CANCEL SUBSCRIPTION.,12/7/2019 6:44,calm,google,maybe-privacy,yes
63,2,"The app is beautiful and there are many great features. That said, having people pulled into a blind billing situation is kinda ??bait and switch?. The pricing page makes no sense and it??s not clear what I was going to be charged. 

If I knew that I signed up to be charged x amount to try the service I would not have done it. 

At the end of the trial the service should stop and THEN the person should choose to join or leave. 

The app is amazing. The intro to it feels unethical and sleazy.",9/14/2018 23:02,calm,apple,maybe-privacy,yes
64,1,"I did like it at first, but the rates have increased and I am finding it virtually impossible to unsubscribe. I find this rather unethical. I'll be calling my credit card to stop  future payments.",12/4/2016 19:25,headspace,google,maybe-privacy,yes
65,2,"Now I know why the name is Talkspace, because it feels like you??re talking to space so far have only been using it for 4 days and I want my money back. The therapist stated she checks during lunch time and later in the day and yet my first response was at about 6 the next day, she had a couple of follow up questions and then the majority of her  2nd response was a whole bit about how I can send her a video or audio message (which is more a month hmm sounds like she??s interested in something else. I now requested to switch the therapist and I haven??t heard anything since. I would cancel now if it wasn??t so dam expensive!",11/18/2018 1:47,talkspace,apple,maybe-privacy,yes
66,1,"Looks good on the ads but after install, the only way to free trial any of the features is to give your bank account details, then cancel when the free trial is up. I know this is 'the way of things' but feel a little bit sad, cheated & stressed (with a side of angry, menopausal & having a hot flush) If the people behind the app genuinely wanted me to find peace, zen and to go into the world more positively and gently, then they shouldn't start the journey asking me for a financial contract! ???­",1/19/2021 21:01,headspace,google,maybe-privacy,yes
67,1,"I cant cancel my subscription I hope I dont get charged, might have to cancel my card before it takes my money",6/26/2019 19:18,calm,google,maybe-privacy,yes
68,1,"Such a big product, and so careless. You just can't send your users the notification that ""Thid is a test"". Handing over the production data to a bunch of cowboys I assume. I can't trust you now.",2/21/2019 15:02,headspace,google,maybe-privacy,yes
69,1,"I was referred by a friend to try this app... I wasn't a fan. While trying it out, I used the free trial. They make it so hard to unsubscribe/cancel trial so I just deactivated my account thinking that would cancel out my credit card info, well I was WRONG. Now I can't login to deactivate my card bc I canceled my account. Not to mention, I can't even call a customer service number. I'm pissed! I hope someone contacts me soon or I will look into legal action.",10/14/2019 10:59,headspace,google,maybe-privacy,yes
70,1,This app does a ??free trial? then auto charges you and I??ve been trying to unsubscribe for years! They make it impossible and I don??t use the app and they keep charging me! If you make it this difficult for people to get out you deserve this low rating.,7/28/2020 15:18,calm,apple,maybe-privacy,yes
71,1,I was unable to discontinue my subscription. They continue to charge me and I still have not gotten a refund.,10/4/2020 16:18,calm,google,maybe-privacy,yes
72,1,All the sudden after a week or two of having it and loving it it deleted all of my information and won't come back,1/10/2017 0:25,sanvello,google,maybe-privacy,yes
73,1,"This app is UTTERLY disappointing. 

Therapy is something that is SO hard to begin and takes a lot of courage to reach out to providers. So, when you pay almost $300 a month to have therapists text you back, it sounds exciting!

Except, it??s not. Because they don??t answer.

Waste of my time and money pouring my heart over text to SEVERAL providers who simply did not answer me within 48 hours. Such a shame this app has little to no accountability for the providers that customers are paying heftily for.",7/8/2021 19:26,talkspace,apple,maybe-privacy,yes
74,1,You are interfering my privacy.,5/12/2021 1:52,calm,google,maybe-privacy,yes
75,2,"Good guided meditation, but confusing interface and it's a complete minefield of ""free trial"" buttons which, ironically, make me anxious and stressed out every time I open the app- because I don't want to accidently trigger that and get hit with a suprise automatic payment two weeks later. If a competitor releases a completely free add-supported alternative, I'll switch immediately for peace of mind.",4/4/2021 16:07,headspace,google,maybe-privacy,yes
76,1,"After subscribing for a year, I decided to cancel. After canceling, I received an auto-renewal charge. After talking to customer service, they promised to remove the charge. A year later I got the same auto-renewal charge again. I successfully got them to remove the second charge but somehow the first auto-renewal was never refunded. Stay away from subscription through their website. Extremely suspect business practices here.",9/23/2016 15:25,headspace,apple,maybe-privacy,yes
77,1,"This ""Tamara Levitt"" has a quite annoying voice. They use your password (!) as your user name. Not much respect for customers' privacy and security.Too much spam and American ""plastic"" pushing extremist agendas and ""celebrities"". Really junk. Very little meditation. Clearly not worth the money. For ""free"" trial, they will send you a confirmation with a link to cancellation, which doesn't work on mobile version. Some will probably forget or give up because of this, and Calm can pocket 69.99 USD. - Oh, well, some people are always eager to grab some more money. Not recommended. Peace & Love. Namaste.",12/16/2019 5:14,calm,google,maybe-privacy,yes
78,1,"Random question: why does a meditation app need a username and password? Is someone going to break in to my phone to steal my bank info, dirty pictures and meditation guide? Take the dick pix, but my life would be ruined if my ""OMMMMMM"" track were taken.",9/23/2015 12:39,headspace,apple,maybe-privacy,yes
79,2,Good for if you're struggling to get to sleep or have bad anxiety but unfortunately there's no way to delete account that I could see.,8/6/2019 6:54,headspace,google,maybe-privacy,yes
80,1,It says on the tv add it's for free but it is not. There is just a free trial for 7 days but still you need to give your bank details which I don't find very safe and necessary.,4/18/2019 3:50,calm,google,maybe-privacy,yes
81,1,"The app is awesome but for somebody who is already stressed and anxiouse, the least that they would want to find in an app that is supposed to help them, is finding out that everything has to be done with money. Its not fair that everything is locked unless you actually pay for it.",10/29/2019 21:45,calm,google,maybe-privacy,yes
82,1,we shouldn't have to put your credit card information in,4/19/2019 22:25,calm,google,maybe-privacy,yes
83,1,Sad you cannot try a few things before you start your trial. I do not like sharing any of my banking info..,5/14/2021 6:28,calm,apple,maybe-privacy,yes
84,2,Billed me after i unsubscribed and now it wont let me log in but charged my fn account 70 watever dollars. Please fix this stupid app.,9/5/2021 22:20,headspace,google,maybe-privacy,yes
85,1,"I tried TalkSpace after leaving an emotionally and sexually abusive relationship. I had an in-person therapist who helped wonders, but I just couldn??t afford it after my money ran out. I was hoping for an affordable option that could help when the panic attacks hit, and this sounded promising. I was able to choose a woman who specialized in abusive relationships and trauma and was excited at the thought of getting some sort of healing. Did I expect this to be just as great as my in-person therapist? Absolutely not. But I was definitely hoping to continue something, at least, to keep me going. 

I wasn??t able to get her schedule until I chose her and couldn??t go back. That was quite a bummer considering she was only available one day a week for two hours. And her responses to my texts? ??You can do this... Keep going... How does that make you feel?... I know this can be hard, but you??re strong...? It felt like I was scrolling Pinterest quotes for an insane price. She would text me back only once and when I would respond quickly, I wouldn??t hear back until the next week. I didn??t even get her for those two hours. I??m past that problem, now my anxiety-ridden brain is onto something else since a week has gone by. She didn??t offer calls or video chats either.

I understand Talk Space is most likely a side gig for therapists who work full-time in an office, but holy cow. I felt worse coming out of it than going in. Lost my money, lost my time, lost my dignity crying over a phone waiting for a text back to make me feel better. Sound like a familiar scenario?

I try not to blame the therapist for a poor set up, but also, why offer potential life-saving services at two hours a week if they can??t be maintained? Maybe I got the short end of the stick. I only had a month to test it and then I had to pay full price. There was an option to try another therapist, but maybe there should be an option to not have to pay that entire price until you find someone you can connect with? When I had insurance, my EAP offered six free sessions per issue until I found the right person. And when I found her, I stuck with her until my money ran out. I don??t know, I??d like to think people would pay for it and stick with it if it meant saving themselves. 

Maybe offer tiers in pricing depending on what the therapist offers? If they only offer texting, of they offer calls, video calls, two or all three? I felt cheated to be expected to pay so much money for one text a week that never went anywhere. I haven??t checked TalkSpace lately, so I??m not sure if this part has changed. But that would probably make me want to check it out again with a new therapist that offered more than an inspirational quote they stole from a poster hanging in my boss?? office.",9/16/2020 22:56,talkspace,apple,maybe-privacy,yes
86,1,"They want your payment information before you know how much it costs, and before your free trial starts.",4/30/2019 21:35,calm,google,maybe-privacy,yes
87,1,"The therapists are all good, but it is just another predatory company looking to take as much money as possible from you. If you fo to cancel your subscription you will be jerked around throu confusing menus that all try to hide the actual cancel button. They will offer a pause and hide that it's only for a few days then you will be charged. At that point you have to risk being charged the ridiculous sum just to see the cancel option that will once again root you through a confusing menu.",1/23/2021 9:59,talkspace,google,maybe-privacy,yes
88,2,"How are you different from any other app now that is interested in our user patterns over our mental health? Why did you remove the modules from our account history??? How else are we going to keep track of meditations we??ve done? Why don??t we have access to our account history anymore without completing a module? For an app that is supposed to deal with mental health its pretty obvious the interface changes were completed by folks who aren??t familiar with the app over the past year. Stop f??ing streamlining, it has implications! (Note: I have a premium account. How convenient is it that after I started paying for it, functions have become restricted or removed altogether.) I??m glad I didn??t buy the premium account as a gift for my sister when prompted in the app. Total bs.",12/5/2019 16:41,shine,apple,maybe-privacy,yes
89,2,I don't like apps that ask personal information and then have to link them to an email account. It's too stressful- no privacy- when it asked for my email I deleted it- never found out if it was good or not.,5/6/2015 10:28,happify,apple,maybe-privacy,yes
90,1,Free one year subscription through American Express so i signed in and it doesn??t work. Now they have my credit card and name.,8/27/2020 23:41,calm,apple,maybe-privacy,yes
91,1,"Short of finding a local therapist, this was my last hope at finding a therapist. I was not in a good way. The therapist I selected seemed nice BUT for 1 month trying this, twice we were not alone. She had someone walking in and out of our sessions. That is completely unacceptable. Mid speaking you shouldn??t have to worry that your private medical discussions are exactly what they should legally be?? PRIVATE! 

Could I have switched to another provider? Sure! But I??m there in part because of trauma and trust issues??. 

It??s a lack of judgment on their part and a gross violation of HIPA.",7/23/2021 15:24,talkspace,apple,maybe-privacy,yes
92,1,"So, you're telling me that unless I pay $60.00 (which, by the way, is utterly ridiculous), I can only have access to two stories? Lame. I listen to ASMR on YouTube which is how I saw this app advertised. I now realize I should just go back to YouTube as there are PLENTY of FREE resources I can use to help me sleep (I personally recommend Michelle's Sanctuary or WhispersInBloom). And no way will I sign up for a ""free"" trial as it will ask for my credit card information and steal my money.",6/3/2019 20:29,calm,google,maybe-privacy,yes
93,1,I had a 14 day trial and once that was up the app took money out of my mother's account which is weird because her details weren't even entered into the billing system. What happened is very scary and there wasn't even any authorisation for such to happen.,1/13/2020 2:14,headspace,google,maybe-privacy,yes
94,1,"It offers you a 7 day trial but it will charge you first a year subscription. Don't take it, you can't contact them back, all the contact info in the app does not work. Dont accept the trial or anything.",9/12/2021 10:27,calm,google,maybe-privacy,yes
